,id,ticker,buy_time,buy_price,buy_sum,buy_commission,sell_time,sell_price,sell_sum,sell_commission,stocks_number,status,gain_coef,lose_coef,trailing_LIT_gain_coef,profit,buy_order_id,limit_if_touched_order_id,stop_order_id,trailing_LIT_order_id,timezone
0,0,DE,2024-08-21 00:39:00.000000,374.06,748.12,1.0,2024-08-22 01:21:00.000,375.94,751.88,1.03,2.0,completed,1.005,0.95,1.007,1.73,FA1956DF73E03B2000,FA1956E75EBF44A000,FA1956E877FC84A000,FA1956EEE2AC3B2000,Australia/Melbourne
1,1,AMT,2024-08-17 01:04:00.000000,220.04,440.08,1.0,2024-08-24 00:26:36.973,221.15,442.3,0.04,2.0,completed,1.005,0.95,1.005,1.1800000000000272,FA1951CACA1BBB2000,FA1958EED98D44A000,FA1951CB1F203B2000,,Australia/Melbourne
2,2,CME,2024-08-17 02:44:00.000000,207.86,623.58,1.0,2024-08-20 06:41:00.000,208.9,626.7,1.03,3.0,completed,1.005,0.95,1.005,1.09,FA1951E1BCC384A000,FA1951E253C07B2000,FA1951E5847EC4A000,,Australia/Melbourne
3,3,EL,2024-08-21 23:32:00.000000,92.14,921.4,1.02,2024-08-22 01:21:00.000,,926.1,0.0,10.0,completed,1.005,0.95,1.007,3.0,FA195825A91F04A000,FA19582868EDBB2000,,,Australia/Melbourne
4,4,OXY,2024-08-21 23:54:00.000000,56.2087,955.5479,1.04,2024-08-22 01:21:00.000,375.94,960.67,1.03,17.0,completed,1.005,0.95,1.007,3.05,FA19582A946244A000,FA1956E75EBF44A000,FA19582C2F87C4A000,,Australia/Melbourne
5,5,EOG,2024-08-22 00:30:00.000000,126.26,883.82,1.01,2024-08-24 01:39:24.402,126.9409,888.5862999999999,0.05,7.0,completed,1.005,0.95,1.007,3.706299999999888,FA195832F268FB2000,FA1958EE17A944A000,FA19583383217B2000,,Australia/Melbourne
6,6,SLB,2024-08-22 00:37:00.000000,44.59,891.8,1.05,2024-08-24 03:26:49.249,44.82,896.4,0.09,20.0,completed,1.005,0.95,1.007,3.460000000000023,FA19583495733B2000,FA1958EED5DB3B2000,FA195834E6D27B2000,,Australia/Melbourne
7,41,MRNA,2024-08-23 23:43:43.194642,82.46,1401.82,0.05,1971-01-01 00:00:00.000,,0.0,0.0,17.0,bought,1.005,0.95,1.006640023500978,0.0,FA195ABB6245FB2000,,,,E. Australia Standard Time
8,28,NXPI,2024-08-24 00:36:11.042785,252.4829,1262.4145,0.02,1971-01-01 00:00:00.000,,0.0,0.0,5.0,bought,1.005,0.95,1.007,0.0,FA195AC7644AFB2000,FA195ADCDD993B2000,FA195ADCDE0A04A000,,E. Australia Standard Time
9,25,ON,2024-08-24 00:45:38.877791,76.09,1141.35,1.111,1971-01-01 00:00:00.000,,0.0,0.0,15.0,placed,1.005,0.95,1.007,0.0,FA195AC98ECDFB2000,,,,E. Australia Standard Time
10,26,AMD,2024-08-24 00:45:42.558214,155.37,1087.59,0.02,1971-01-01 00:00:00.000,,0.0,0.0,7.0,bought,1.005,0.95,1.007,0.0,FA195AC992643B2000,FA195ADCDEA384A000,FA195ADCDFD9FB2000,,E. Australia Standard Time
11,26,CMG,2024-08-24 02:31:39.176663,53.7395,967.311,0.05,1971-01-01 00:00:00.000,,0.0,0.0,18.0,bought,1.005,0.95,1.007,0.0,FA195AE1D1EF04A000,FA195AE220BF3B2000,FA195AE22108FB2000,,E. Australia Standard Time
